Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 18-Jun-2025),Crossref citations (as of 18-Jun-2025)
Students' perception of bioeconomy as an important factor in communicating and further development of the bioeconomy in Slovakia and the Czech Republic,"Roman Dudík, Blanka Giertliová, Vilém Jarský, Lenka Marcineková Nee Navrátilová, Petra Palátová, Marcel Riedl, Jozef Výbošťok, Jaroslav Šálka",Scandinavian Journal of Forest Research,38,4,p265 - p274,2023,10.1080/02827581.2023.2211806,06-Jun-2023,https://doi.org/10.1080/02827581.2023.2211806,172.0,2.0
Towards inclusive innovation in the European context - the innovation capacity of alternative networks for sustainable agriculture,"Anna Maria Augustyn, Gusztáv Nemes",Innovation and Development,7,1,p133 - p152,2017,10.1080/2157930x.2017.1281221,31-Jan-2017,https://doi.org/10.1080/2157930x.2017.1281221,411.0,1.0
Market Research and SWOT Analysis for Fibers Composite Materials Usage in the Vehicular Components Supply Chain,"Ivana Cesarino, Luís Guilherme Leite Fernandes, Alcides Lopes Leão, Silvia Angélica Domingues de Carvalho, Guilherme de Oliveira Martins",Journal of Natural Fibers,21,1,,2024,10.1080/15440478.2024.2334409,01-Apr-2024,https://doi.org/10.1080/15440478.2024.2334409,1030.0,1.0
Implementing the transformative innovation policy in the European Union: how does transformative change occur in Member States?,Mattia Casula,European Planning Studies,30,11,p2178 - p2204,2022,10.1080/09654313.2021.2025345,22-Jan-2022,https://doi.org/10.1080/09654313.2021.2025345,1281.0,21.0
Policy entrepreneurship in collaborative governance: transformative innovation in Catalonia's sustainability transition,"Míriam Acebillo-Baqué, Alejandra Boni, Diana Velasco",Policy Design and Practice,,,p1 - p16,5187,10.1080/25741292.2025.2515732,09-Jun-2025,https://doi.org/10.1080/25741292.2025.2515732,236.0,0.0
"Environmental, social and governance (ESG) in agriculture: trends and gaps on research","Allan Dale, Yvette Everingham, Rachel Hay, Ana Carla Leite de Almeida, Stewart Lockie",Australasian Journal of Environmental Management,,,p1 - p30,5187,10.1080/14486563.2024.2430313,29-Nov-2024,https://doi.org/10.1080/14486563.2024.2430313,496.0,6.0
Private-sector innovation processes in development cooperation: perspectives from Finnish technology enterprises,Lauri Johannes Hooli,Innovation and Development,14,1,p7 - p24,2024,10.1080/2157930x.2021.1979719,29-Sep-2021,https://doi.org/10.1080/2157930x.2021.1979719,2932.0,3.0
Responsible innovation in start-ups: entrepreneurial perspectives and formalisation of social responsibility,"Vincent Blok, Elina Ketikidi, Mark Ryan, Simeon Veloudis",Journal of Responsible Innovation,12,1,,2025,10.1080/23299460.2025.2453251,30-Jan-2025,https://doi.org/10.1080/23299460.2025.2453251,966.0,1.0
The road ahead: narratives and imaginaries of the value of biodiversity in shaping bioeconomy policy in Colombia,Alberto Aparicio,"Tapuya: Latin American Science, Technology and Society",5,1,,2022,10.1080/25729861.2022.2059137,05-Jul-2022,https://doi.org/10.1080/25729861.2022.2059137,1869.0,2.0
Exploring Fungal Mycelium for Sustainable Food Solutions: From Biomass Utilization to Byproduct Innovation,Hosam Elhalis,Food Reviews International,,,p1 - p33,5187,10.1080/87559129.2025.2493734,30-Apr-2025,https://doi.org/10.1080/87559129.2025.2493734,335.0,0.0
(Re-)producing bioassemblages: positionalities of regional bioeconomy development in Finland,Moritz Albrecht,Local Environment,24,4,p342 - p357,2019,10.1080/13549839.2019.1567482,16-Jan-2019,https://doi.org/10.1080/13549839.2019.1567482,361.0,16.0
Studies of inclusive innovation in sociotechnical systems: case studies in Russia and India,Olga Ustyuzhantseva,Innovation and Development,7,1,p83 - p100,2017,10.1080/2157930x.2017.1281359,31-Jan-2017,https://doi.org/10.1080/2157930x.2017.1281359,221.0,5.0
Toward Net Negative Emissions: Green Hydrogen and Sustainable Solutions,Ganapati D Yadav,Drying Technology,43,3,p489 - p491,2025,10.1080/07373937.2025.2469367,26-Feb-2025,https://doi.org/10.1080/07373937.2025.2469367,364.0,0.0
The green-restructuring of clusters: investigating a biocluster's transition using a complex adaptive system model,"Aitziber Elola, Frans Hermans, Ram Kamath",European Planning Studies,31,9,p1842 - p1867,2023,10.1080/09654313.2022.2141054,06-Nov-2022,https://doi.org/10.1080/09654313.2022.2141054,1602.0,2.0
Understanding the interactions between biowaste valorisation and the Sustainable Development Goals: insights from an early transition stage,"Daniel Ddiba, Rebecka Ericsdotter Engström, Maryna Henrysson, Dilip Khatiwada, Katia Lasaridi, Viktoria Martin, Eftychia Ntostoglou",International Journal of Urban Sustainable Development,16,1,p53 - p72,2024,10.1080/19463138.2024.2319795,14-Mar-2024,https://doi.org/10.1080/19463138.2024.2319795,1267.0,3.0
Data-driven zero-carbon transition analysis in the industrial and manufacturing sectors: a world-regional perspective,"Viqi Ardaniah, Tat-Dat Bui, Mohammad Iranmanesh, Ming-Lang Tseng, Qinghua Zhu",International Journal of Logistics Research and Applications,27,12,p2426 - p2465,2024,10.1080/13675567.2023.2212622,13-May-2023,https://doi.org/10.1080/13675567.2023.2212622,515.0,5.0
The nexus between alternatives assessment and green chemistry: supporting the development and adoption of safer chemicals,"Molly Jacobs, Lindsey D Pollard, Rachel V Simon, Joel A Tickner, Saskia K van Bergen",Green Chemistry Letters and Reviews,14,1,p23 - p44,2021,10.1080/17518253.2020.1856427,12-Dec-2020,https://doi.org/10.1080/17518253.2020.1856427,5688.0,26.0
Contests of institutional framing: sectorial governance and the innovation of mass-produced Atlantic salmon,Finn Orstavik,Innovation and Development,7,1,p63 - p82,2017,10.1080/2157930x.2017.1281325,24-Jan-2017,https://doi.org/10.1080/2157930x.2017.1281325,215.0,2.0
The thorny road towards green path development: the case of bioplastics in Lower Austria,"Nikolaus Steinböck, Michaela Trippl","Regional Studies, Regional Science",10,1,p735 - p749,2023,10.1080/21681376.2023.2244572,29-Aug-2023,https://doi.org/10.1080/21681376.2023.2244572,1564.0,4.0
Data-driven on sustainable food supply chain: a comparison on Halal and non-Halal food system,"Tat-Dat Bui, Hien Minh Ha, Mohd Helmi Ali, Ming K Lim, Chun-Wei Lin, Thi Phuong Thuy Tran, Ming-Lang Tseng",Journal of Industrial and Production Engineering,39,6,p430 - p457,2022,10.1080/21681015.2022.2040622,15-Mar-2022,https://doi.org/10.1080/21681015.2022.2040622,905.0,19.0
Towards the development of a biobased economy in Europe and India,"Rob Bakker, Ludo Diels, Kathy Elst, Reeta Goel, Kees Kwant, Shilpi Misra, Abdul-Sattar Nizami, Deepak Pant, Mohammad Rehan, Priyangshu Sarma, Neeta Sharma, Silvia Tabacchioni, Rebecca van Leeuwen",Critical Reviews in Biotechnology,39,6,p779 - p799,2019,10.1080/07388551.2019.1618787,29-May-2019,https://doi.org/10.1080/07388551.2019.1618787,836.0,52.0
Innovation and future pathways in nature-based tourism - the outlook from an international expert panel,"Peter Fredman, Jan Vidar Haukeland, Kreg Lindberg, Dominik Siegrist, Liisa Tyrväinen",Loisir et Société / Society and Leisure,47,3,p563 - p579,2024,10.1080/07053436.2024.2423305,03-Dec-2024,https://doi.org/10.1080/07053436.2024.2423305,507.0,0.0
In vivo evidences of the health-promoting properties of bioactive compounds obtained from olive by-products and their use as food ingredient,"África Fernandez-Prior, Maria C Millan-Linares, Sergio Montserrat-De-La-Paz, Fernando Rivero-Pino, Alvaro Villanueva-Lazo",Critical Reviews in Food Science and Nutrition,,,p1 - p13,5187,10.1080/10408398.2023.2203229,25-Apr-2023,https://doi.org/10.1080/10408398.2023.2203229,471.0,8.0
Political influences on biotechnology-based innovation for European agriculture: risk-assessment and risk management,"Michele Mastroeni, James Mittra, Joyce Tait",Technology Analysis & Strategic Management,33,3,p271 - p282,2021,10.1080/09537325.2019.1573983,31-Jan-2019,https://doi.org/10.1080/09537325.2019.1573983,651.0,8.0
Challenge-driven innovation and responsible innovation: dynamics and disconnects explored through the UK's industrial biotechnology sector,"Susan Molyneux-Hodgson, Achim Rosemann",Journal of Responsible Innovation,10,1,,2023,10.1080/23299460.2023.2286762,07-Dec-2023,https://doi.org/10.1080/23299460.2023.2286762,974.0,3.0
Positioning the biofuel policy in the bioeconomy of the BioEast macro-region,"Ioannis Dimitriou, Biljana Kulišić, Blas Mola-Yudego",Biofuels,13,7,p833 - p842,2022,10.1080/17597269.2021.1984165,07-Oct-2021,https://doi.org/10.1080/17597269.2021.1984165,1302.0,5.0
Where innovation meets directionality: an index to measure regional readiness to deal with societal challenges,"Francesco Cappellano, Nicola Francesco Dotti, Teemu Makkonen, Arnault Morisson, Annalisa Rizzo",European Planning Studies,30,8,p1549 - p1576,2022,10.1080/09654313.2021.1976114,15-Sep-2021,https://doi.org/10.1080/09654313.2021.1976114,915.0,15.0
Deconstructing the attractiveness of biocluster imaginaries,"Frans Hermans, Kerstin Wilde",Journal of Environmental Policy & Planning,23,2,p227 - p242,2021,10.1080/1523908x.2021.1891872,05-Mar-2021,https://doi.org/10.1080/1523908x.2021.1891872,1928.0,11.0
Biodigital technologies and the bioeconomy: The Global New Green Deal?,"Sarah Hayes, Petar Jandrić, Michael A Peters",Educational Philosophy and Theory,55,3,p251 - p260,2023,10.1080/00131857.2020.1861938,11-Jan-2021,https://doi.org/10.1080/00131857.2020.1861938,4442.0,25.0
"Organisational Innovation Systems for multi-actor co-innovation in European agriculture, forestry and related sectors: Diversity and common attributes","Szabolcs Biró, Evelien Cronin, Andrew F Fieldsend, Elke Rogge, Eszter Varga",NJAS: Wageningen Journal of Life Sciences,92,1,p1 - p11,2020,10.1016/j.njas.2020.100335,18-Jun-2021,https://doi.org/10.1016/j.njas.2020.100335,1701.0,26.0
The Big Push for Sustainability,Camila Gramkow,NACLA Report on the Americas,52,2,p186 - p191,2020,10.1080/10714839.2020.1768742,09-Jun-2020,https://doi.org/10.1080/10714839.2020.1768742,287.0,3.0
New strategies for sustainable growth in European Economies,"Cristina Badarau, Aneta Chodakowska, Kamilla Marchewka-Bartkowiak, Dimitrios Paparas",Eastern European Economics,61,4,p311 - p317,2023,10.1080/00128775.2023.2173610,31-Jan-2023,https://doi.org/10.1080/00128775.2023.2173610,222.0,0.0
Feminist critique of bioeconomies: paradigm struggles toward a caring economy,Christa Wichterich,"Sustainability: Science, Practice and Policy",21,1,,2025,10.1080/15487733.2024.2435646,20-Dec-2024,https://doi.org/10.1080/15487733.2024.2435646,833.0,0.0
The embedding of universities in innovation ecosystems: The case of marine research at the University of Bergen,"Arnt Fløysand, Douglas K R Robinson, Antoine Schoen, Randi Elisabeth Taxt",Norsk Geografisk Tidsskrift - Norwegian Journal of Geography,76,1,p42 - p60,2022,10.1080/00291951.2022.2041718,06-Mar-2022,https://doi.org/10.1080/00291951.2022.2041718,3558.0,7.0
Exploring inclusive MedTech innovations for resource-constrained healthcare in india,"Laila Garda, Dinar Kale, Janak Nabar, Varsha Tol",Innovation and Development,14,3,p539 - p561,2024,10.1080/2157930x.2023.2215099,30-May-2023,https://doi.org/10.1080/2157930x.2023.2215099,1094.0,1.0
Institutional and technological innovation for the bamboo sector as an instrument for development and climate change resilience in Ethiopia,"Dietrich Darr, Tefera Belay Endalamaw","African Journal of Science, Technology, Innovation and Development",13,7,p817 - p828,2021,10.1080/20421338.2020.1837447,31-Dec-2020,https://doi.org/10.1080/20421338.2020.1837447,297.0,6.0
After Paris: transitions for sustainable consumption,"Dale Southerton, Daniel Welch","Sustainability: Science, Practice and Policy",15,s1,p31 - p44,2019,10.1080/15487733.2018.1560861@tsus20.2019.15.issue-s1,22-Feb-2019,https://doi.org/10.1080/15487733.2018.1560861@tsus20.2019.15.issue-s1,0.0,0.0
Exploring the readiness of publicly funded researchers to practice responsible research and innovation in digital agriculture,Áine Regan,Journal of Responsible Innovation,8,1,p28 - p47,2021,10.1080/23299460.2021.1904755,01-Apr-2021,https://doi.org/10.1080/23299460.2021.1904755,3413.0,39.0
After Paris: transitions for sustainable consumption,"Dale Southerton, Daniel Welch","Sustainability: Science, Practice and Policy",15,1,p31 - p44,2019,10.1080/15487733.2018.1560861,22-Feb-2019,https://doi.org/10.1080/15487733.2018.1560861,9246.0,32.0
Sustainable utilization of fruit and vegetable waste bioresources for bioplastics production,"William Clark, Liang Gong, Vijai Kumar Gupta, Yueming Jiang, Vijay Kumar Thakur, Shanmugam Kumar, John Newbold, Ajit Kumar Passari, Chunxiao Yin",Critical Reviews in Biotechnology,44,2,p236 - p254,2024,10.1080/07388551.2022.2157241,15-Jan-2023,https://doi.org/10.1080/07388551.2022.2157241,2028.0,23.0
Global trends and tourism development in peripheral areas,"Alina Ianioglo, Marko Rissanen",Scandinavian Journal of Hospitality and Tourism,20,5,p520 - p539,2020,10.1080/15022250.2020.1848620,27-Nov-2020,https://doi.org/10.1080/15022250.2020.1848620,7822.0,28.0
"Trajectories from standard to incremental and pioneering innovation in timber construction: multi-storey timber buildings in Germany, Austria, and Switzerland","Yana Boeva, Cordula Kropp, Achim Menges, Hana Svatoš-Ražnjević",Building Research & Information,,,p1 - p25,5187,10.1080/09613218.2025.2482970,10-Jun-2025,https://doi.org/10.1080/09613218.2025.2482970,125.0,0.0
Harnessing Bacillus keratinases for sustainable keratin waste valorization: a current appraisal,"Pranshi Gupta, Naveen Kango, Isha Sharma",Critical Reviews in Biotechnology,,,p1 - p24,5187,10.1080/07388551.2025.2495281,02-Jun-2025,https://doi.org/10.1080/07388551.2025.2495281,50.0,0.0
Embracing paradox and moving away from unsustainability through business model innovation,"Ukeje Jacob Agwu, Elin Merethe Oftedal",Sustainable Communities,2,1,,2025,10.1080/29931282.2025.2480363,28-Mar-2025,https://doi.org/10.1080/29931282.2025.2480363,472.0,0.0
Fostering smart specialisation: the emergence of guided self-organisation at the regional level,"Henna Riikka Kangas, Sanna Pauliina Ryynänen","Urban, Planning and Transport Research",10,1,p110 - p130,2022,10.1080/21650020.2022.2057357,30-Mar-2022,https://doi.org/10.1080/21650020.2022.2057357,1009.0,3.0
Using archetypal analysis to derive a typology of knowledge networks in European bioclusters,"Milad Abbasiharofteh, Frans Hermans",Regional Studies,59,1,,2025,10.1080/00343404.2024.2430354,02-Jan-2025,https://doi.org/10.1080/00343404.2024.2430354,928.0,0.0
Is bioeconomic potential shared? An assessment of policy expectations at the regional level in Colombia,"Alejandro Balanzó Guzmán, Juan Pablo Centeno, Claudia Marcela Pinzón Rojas, Héctor Heraldo Rojas Jiménez",Innovation and Development,13,2,p275 - p300,2023,10.1080/2157930x.2021.1956713,26-Jul-2021,https://doi.org/10.1080/2157930x.2021.1956713,276.0,1.0
Reflections on the practice of Responsible (Research and) Innovation in synthetic biology,"Ken Taylor, Simon Woods",New Genetics and Society,39,2,p127 - p147,2020,10.1080/14636778.2019.1709431,27-Jan-2020,https://doi.org/10.1080/14636778.2019.1709431,1898.0,14.0
Sustainable circular biorefinery approach for novel building blocks and bioenergy production from algae using microbial fuel cell,"Henry Chee Yew Foo, Man Kee Lam, Pau Loke Show, Inn Shi Tan, Kevin Tian Xiang Tong, Mee Kee Wong",Bioengineered,14,1,p246 - p289,2023,10.1080/21655979.2023.2236842,23-Jul-2023,https://doi.org/10.1080/21655979.2023.2236842,2629.0,12.0
Valorization of Macronutrients of Fruit Seeds and Their Food Applications: A Review,"Maria N Antipina, Yin Win Khin, Su Hui Lim, Jordy Kim Ung Ling, Siew Bee Ng",Food Reviews International,,,p1 - p22,5187,10.1080/87559129.2025.2486270,02-Apr-2025,https://doi.org/10.1080/87559129.2025.2486270,66.0,0.0
Microbial electrolysis: a promising approach for treatment and resource recovery from industrial wastewater,"Muhammad Bilal, Xuan-Thanh Bui, Jo-Shu Chang, Viralkunvar Devda, Wenshan Guo, Sang-Hyoun Kim, Yamini Koul, Huu Hao Ngo, Roberto Parra-Saldívar, Mohammad J Taherzadeh, Sunita Varjani, Jonathan W C Wong",Bioengineered,13,4,p8115 - p8134,2022,10.1080/21655979.2022.2051842,17-Mar-2022,https://doi.org/10.1080/21655979.2022.2051842,5937.0,71.0
"Energy use and decarbonisation of the water sector: a comprehensive review of issues, approaches, and technological options",Andrea G Capodaglio,Environmental Technology Reviews,14,1,p40 - p68,2025,10.1080/21622515.2024.2440163,06-Jan-2025,https://doi.org/10.1080/21622515.2024.2440163,236.0,4.0
Responsible regulation in action? Responsible research and innovation and the European Bank for induced pluripotent stem cells,Shawn HE Harmon,"Law, Innovation and Technology",10,1,p15 - p39,2018,10.1080/17579961.2018.1452175,22-Mar-2018,https://doi.org/10.1080/17579961.2018.1452175,210.0,2.0
News and Views,,Scandinavian Journal of Forest Research,32,7,p645 - p648,2017,10.1080/02827581.2017.1364892,31-Aug-2017,https://doi.org/10.1080/02827581.2017.1364892,19.0,0.0
'Creating Beauty': Collagen's speculative processes from waste to wellness,"Bridget Conor, A Winch",Economy and Society,54,1,p26 - p48,2025,10.1080/03085147.2025.2464441,06-Mar-2025,https://doi.org/10.1080/03085147.2025.2464441,722.0,0.0
Considering geographies of interdependence in responsible innovation,"Ehsan Nabavi, Dan Santos",Journal of Responsible Innovation,12,1,,2025,10.1080/23299460.2025.2479322,27-Mar-2025,https://doi.org/10.1080/23299460.2025.2479322,425.0,0.0
Intrinsic responsible innovation in a synthetic biology research project,"Alex Johns, Heath Murray, Ken Taylor, Simon Woods",New Genetics and Society,42,1,,2023,10.1080/14636778.2023.2232684,17-Aug-2023,https://doi.org/10.1080/14636778.2023.2232684,890.0,4.0
Resilience and family farming: overview and insights in scientific research,"Robert Buschbacher, Renata Evangelista de Oliveira, Wagner Gervazio, Nathalia de França Guimarães, Anderson de Souza Gallo",Agroecology and Sustainable Food Systems,49,6,p884 - p915,2025,10.1080/21683565.2024.2448197,08-Jan-2025,https://doi.org/10.1080/21683565.2024.2448197,319.0,1.0
"Advancing sustainable manufacturing: a systematic exploration of Industry 5.0 supply chains for sustainability, human-centricity, and resilience","M K S Al-Mhdawi, Nicholas Dacre, Hao Dong, Regina Frei, Jingyang Yan",Production Planning & Control,,,p1 - p30,5187,10.1080/09537287.2024.2380361,23-Jul-2024,https://doi.org/10.1080/09537287.2024.2380361,4751.0,27.0
"Advancing timber construction: historical growth, research frontiers, and time series forecasting","Harrison Huang, Lu Li, Shan Su",Journal of Asian Architecture and Building Engineering,,,p1 - p30,5187,10.1080/13467581.2024.2373829,05-Jul-2024,https://doi.org/10.1080/13467581.2024.2373829,1732.0,1.0
Innovative conversion of food waste into biofuel in integrated waste management system,"Nor'Aini Abdul Rahman, Halimatun Saadiah Hafid, Farah Nadia Omar, Minato Wakisaka",Critical Reviews in Environmental Science and Technology,52,19,p3453 - p3492,2022,10.1080/10643389.2021.1923976,28-May-2021,https://doi.org/10.1080/10643389.2021.1923976,2111.0,33.0
"Building Networks in the Agri-Food Chain: EU as Facilitator Toward Digital Transformation and ""Greening"" of Agricultural Sector","Charalampos Chrysomallidis, Yannis El Doukas",Journal of International Food & Agribusiness Marketing,36,1,p47 - p67,2024,10.1080/08974438.2023.2281328,20-Nov-2023,https://doi.org/10.1080/08974438.2023.2281328,253.0,2.0
Imaginary lock-ins in climate change politics: the challenge to envision a fossil-free future,"Jens Marquardt, Naghmeh Nasiritousi",Environmental Politics,31,4,p621 - p642,2022,10.1080/09644016.2021.1951479,08-Jul-2021,https://doi.org/10.1080/09644016.2021.1951479,3504.0,41.0
Waste management using marine microorganisms,"M Haripriyaa, K Suthindhiran",Sustainable Environment,10,1,,2024,10.1080/27658511.2024.2324574,06-Mar-2024,https://doi.org/10.1080/27658511.2024.2324574,2682.0,4.0
Calculating the blue economy: producing trust in numbers with business tools and reflexive objectivity,"Kristin Asdal, Hilde Reinertsen",Journal of Cultural Economy,12,6,p552 - p570,2019,10.1080/17530350.2019.1639066,22-Jul-2019,https://doi.org/10.1080/17530350.2019.1639066,3831.0,17.0
Trends in fisheries waste utilization: a valuable resource of nutrients and valorized products for the food industry,"Arfin Imam, Shifa Naseem, Anjan Ray, Anantha Sreepada Rayadurga, Sunil Kumar Suman",Critical Reviews in Food Science and Nutrition,,,p1 - p21,5187,10.1080/10408398.2023.2211167,15-May-2023,https://doi.org/10.1080/10408398.2023.2211167,1301.0,12.0
News and Analysis of the Global Innovation Scene,Tammy Editor McCausland,Research-Technology Management,64,6,p2 - p8,2021,10.1080/08956308.2021.1972388,22-Oct-2021,https://doi.org/10.1080/08956308.2021.1972388,95.0,0.0
Role of non-genetically modified or native pentose fermenting microorganisms in establishing viable lignocellulosic biorefineries in the Brazilian context,"Priscila V Arruda, Anuj K Chandel, Tayrone D Esteves, Vinod Kumar, Thais S Milessi, Luisa P Pinheiro, Juliana P Sandri",Critical Reviews in Biotechnology,,,p1 - p19,5187,10.1080/07388551.2025.2452628,20-Feb-2025,https://doi.org/10.1080/07388551.2025.2452628,282.0,1.0
Is biorefinery establishment enhancing the EU labour market on a regional level?,"Edoardo Baldoni, Robert M'Barek, Johannes Sauer, Maria Vrachioli, Xinqi Zhu",Regional Studies,58,8,p1603 - p1617,2024,10.1080/00343404.2023.2292251,30-Jan-2024,https://doi.org/10.1080/00343404.2023.2292251,1360.0,3.0
Ecological Economics Foundations to Improve Environmental Education Practices: Designing Regenerative Cultures*,"Javier Collado-Ruano, Joselin Segovia Sarmiento",World Futures,78,7,p456 - p483,2022,10.1080/02604027.2022.2072158,28-Jul-2022,https://doi.org/10.1080/02604027.2022.2072158,558.0,3.0
Role of ascomycete and basidiomycete fungi in meeting established and emerging sustainability opportunities: a review,"Muhamad Fazly Abdul Patah, Siti Rokhiyah Ahmad Usuldin, Mohamad Faizal Ibrahim, Zul Ilham, Adi Ainurzaman Jamaludin, Neil Rowan, Pau-Loke Show, Wan Hanna Melini Wan Mohtar, Wan Abd al Qadr Imad Wan-Mohtar, Afnan Ahmadi Zahuri",Bioengineered,13,7-12,p14903 - p14935,2022,10.1080/21655979.2023.2184785,27-Apr-2023,https://doi.org/10.1080/21655979.2023.2184785,2923.0,10.0
Flow approaches in agri-food systems research: revealing blind spots to support social-ecological transformation,"Lynda Aissani, Sandrine Allain, Pierre Guillemin, Kevin Morel, Tiago Teixeira da Silva Siqueira, Simon de Muynck",Agroecology and Sustainable Food Systems,49,4,p471 - p493,2025,10.1080/21683565.2024.2421977,05-Nov-2024,https://doi.org/10.1080/21683565.2024.2421977,357.0,0.0
A Revival for Thailand's Textile Traditions: New Value for Local Materials (Eri Silk) through Art Practice,"Supawinee Charungkiattikul, Eakachat Joneurairatana",TEXTILE,19,3,p340 - p353,2021,10.1080/14759756.2021.1914957,14-Jun-2021,https://doi.org/10.1080/14759756.2021.1914957,361.0,5.0
Change agency and path development in peripheral regions: from pulp production towards eco-industry in Lapland,"Jari Kolehmainen, Heli Kurikka, Markku Sotarauta",European Planning Studies,31,2,p348 - p371,2023,10.1080/09654313.2022.2054659,24-Mar-2022,https://doi.org/10.1080/09654313.2022.2054659,3891.0,24.0
Understanding the emergence and evolution of new business models in the UK regenerative medicine sector,"Geoffrey Banda, James Mittra, Omid Omidvar, Joyce Tait, Andrew Watkins",Technology Analysis & Strategic Management,33,3,p320 - p333,2021,10.1080/09537325.2019.1685087,13-Nov-2019,https://doi.org/10.1080/09537325.2019.1685087,735.0,8.0
Lignocellulosic materials valorization in second generation biorefineries: an opportunity to produce fungal biopigments,"Gabriel L Arruda, Mónica M Cruz-Santos, Fanny M Jofre, Solange I Mussatto, Carina A Prado, Maria Teresa F R Raymundo, Júlio C Santos, Vinícius P Shibukawa, Silvio S da Silva",Critical Reviews in Biotechnology,45,2,p393 - p412,2025,10.1080/07388551.2024.2349581,30-May-2024,https://doi.org/10.1080/07388551.2024.2349581,649.0,0.0
Configuring more responsible knowledge-based bio-economies: the case of alternative agro-food networks,Katerina Psarikidou,Journal of Responsible Innovation,10,1,,2023,10.1080/23299460.2023.2196818,27-Apr-2023,https://doi.org/10.1080/23299460.2023.2196818,1150.0,4.0
"Current state and prospects of biotechnology in Central and Eastern European countries. Part I: Visegrad countries (CZ, H, PL, SK)","Markus Dettenhofer, Munis Dundar, Kevan M A Gartland, Pawel Kaszycki, Stanislav Miertuš, Miroslav Ondrejovič, Stanislav Stuchlík, Ján Turňa, Tomasz Twardowski, Viktória Vásáry",Critical Reviews in Biotechnology,39,1,p114 - p136,2019,10.1080/07388551.2018.1523131,29-Oct-2018,https://doi.org/10.1080/07388551.2018.1523131,473.0,10.0
Comparing industry and academia priorities in bioenergy education: a Delphi study,"Katharine G Field, Kimi Grzyb, Brian D Hartman",International Journal of Sustainable Energy,37,10,p956 - p969,2018,10.1080/14786451.2017.1402769,30-Nov-2017,https://doi.org/10.1080/14786451.2017.1402769,216.0,5.0
Opportunities and challenges in implementing Smart Specialisation in Nordic 'strong innovator' regions,"Iryna Fil Kristensen, Rhiannon Pugh",Regional Studies,57,1,p129 - p140,2023,10.1080/00343404.2022.2054975,03-May-2022,https://doi.org/10.1080/00343404.2022.2054975,681.0,6.0
The 'philanthropic' gene: biocapital and the new green revolution in Africa,Jacqueline A Ignatova,Third World Quarterly,38,10,p2258 - p2275,2017,10.1080/01436597.2017.1322463,17-May-2017,https://doi.org/10.1080/01436597.2017.1322463,1417.0,18.0
Uncertainties of supply chain transition and integration for Industry 5.0: a review of operations management literature,Christopher M Durugbo,International Journal of Production Research,,,p1 - p23,5187,10.1080/00207543.2025.2489039,14-Apr-2025,https://doi.org/10.1080/00207543.2025.2489039,231.0,0.0
Representativeness of European biochar research: part I - field experiments,"Ana Catarina Bastos, Bruno Glaser, Simon Jeffery, Jürgen Kern, Utra Mankasingh, Pietro Panzacchi, Vit Penizek, Ruben Sakrabani, Priit Tammeorg, Frank G A Verheijen, Giulia Zanchettin, Costanza Zavalloni",Journal of Environmental Engineering and Landscape Management,25,2,p140 - p151,2017,10.3846/16486897.2017.1304943,28-Jun-2017,https://doi.org/10.3846/16486897.2017.1304943,633.0,19.0
COVID and structural cartelisation: market-state-society ties and the political economy of Pharma,"Matthew Sparke, Owain Williams",New Political Economy,29,4,p579 - p596,2024,10.1080/13563467.2024.2304180,19-Jan-2024,https://doi.org/10.1080/13563467.2024.2304180,4971.0,4.0
Zero-carbon solution: Microalgae as a low-cost feedstock for fuel production and carbon sequestration,"Ali Ahsan, Parveen Akhter, Muhammad Haris Hamayun, Murid Hussain, Abrar Inayat, Farrukh Jamil, Young-Kwon Park, Moeen Ali Rashad",Critical Reviews in Environmental Science and Technology,,,p1 - p24,5187,10.1080/10643389.2025.2505069,16-May-2025,https://doi.org/10.1080/10643389.2025.2505069,173.0,0.0
Collaborating as peers or targeted by science diplomacy? The participation of Latin American researchers in the European Framework Programme for Research and Innovation,Consuelo Uribe-Mallarino,"Tapuya: Latin American Science, Technology and Society",5,1,,2022,10.1080/25729861.2021.2003282,18-Mar-2022,https://doi.org/10.1080/25729861.2021.2003282,1585.0,3.0
University as an opportunity space enabler in a regional entrepreneurial ecosystem,"Suvi Konsti-Laakso, Katja Lahikainen, Satu Rinkinen",European Planning Studies,32,5,p1010 - p1028,2024,10.1080/09654313.2023.2246522,22-Aug-2023,https://doi.org/10.1080/09654313.2023.2246522,1748.0,3.0
Capitalization and the production of value at the nexus of academia and industry: the case of a microbiome startup,"Lorenzo Beltrame, Luciano Ferrari, Roberta Raffaetà",New Genetics and Society,43,1,,2024,10.1080/14636778.2024.2411863,17-Oct-2024,https://doi.org/10.1080/14636778.2024.2411863,707.0,0.0
"Biodiversity, leadership, and resilience in a national sustainable tourism program","Miia Grénman, Henna Konu, Juulia Räikkönen, Esko Sorakunnas, Liisa Tyrväinen",Scandinavian Journal of Hospitality and Tourism,,,p1 - p19,5187,10.1080/15022250.2024.2332308,21-Mar-2024,https://doi.org/10.1080/15022250.2024.2332308,1617.0,4.0
